caso,parola,frequenza
0,glutine,4930
0,prodotti,4425
0,senza,3683
0,celiachia,3615
0,alimenti,3364
0,grano,2293
0,pasta,2037
0,salute,1950
0,italia,1869
0,nuova,1712
1,mozzarella,465
1,blu,270
1,prodotti,246
1,latte,159
1,azienda,115
1,giorni,113
1,colorazione,111
1,italiani,106
1,consumatori,103
1,italia,101
2,alimenti,2320
2,cibi,1517
2,dieta,1508
2,integrali,1248
2,salute,1224
2,prodotti,1097
2,frutta,1037
2,consumo,984
2,mangiare,964
2,giorno,897
3,olio,5392
3,palma,4519
3,prodotti,2924
3,alimentare,2115
3,grassi,1963
3,consumatori,1760
3,latte,1153
3,salute,1147
3,aziende,1090
3,senza,1016
4,vegana,2222
4,animali,1569
4,alimentazione,1213
4,dieta,1199
4,carne,995
4,vegano,949
4,cucina,934
4,cibo,836
4,mangiare,808
4,vegetariani,778
5,coli,2659
5,batteri,2656
5,escherichia,2461
5,divieto,2342
5,mare,2294
5,arpat,1985
5,balneazione,1948
5,acqua,1913
5,acque,1796
5,comune,1730
