caso,parola,frequenza,percentuale
0,glutine,4930,1.0
0,prodotti,4425,0.8975659229208925
0,senza,3683,0.7470588235294118
0,celiachia,3615,0.7332657200811359
0,alimenti,3364,0.6823529411764706
0,grano,2293,0.46511156186612573
0,pasta,2037,0.41318458417849896
0,salute,1950,0.39553752535496955
0,italia,1869,0.3791075050709939
0,nuova,1712,0.34726166328600405
0,consumo,1651,0.33488843813387426
0,farina,1626,0.32981744421906695
0,pane,1571,0.3186612576064909
0,italiana,1563,0.31703853955375255
0,bambini,1536,0.31156186612576064
0,qualita,1525,0.3093306288032454
0,ingredienti,1450,0.29411764705882354
0,giorno,1418,0.2876267748478702
0,grande,1403,0.2845841784989858
0,euro,1392,0.2823529411764706
0,cibo,1392,0.2823529411764706
0,azienda,1336,0.2709939148073022
0,presente,1318,0.26734279918864096
0,intolleranze,1257,0.25496957403651116
0,cucina,1236,0.25070993914807305
1,mozzarella,465,1.0
1,blu,270,0.5806451612903226
1,prodotti,246,0.5290322580645161
1,latte,159,0.3419354838709677
1,azienda,115,0.24731182795698925
1,giorni,113,0.24301075268817204
1,colorazione,111,0.23870967741935484
1,italiani,106,0.22795698924731184
1,consumatori,103,0.221505376344086
1,italia,101,0.2172043010752688
1,alimentare,101,0.2172043010752688
1,confezione,98,0.210752688172043
1,controlli,90,0.1935483870967742
1,marchio,88,0.18924731182795698
1,asl,88,0.18924731182795698
1,batterio,84,0.18064516129032257
1,vendita,78,0.16774193548387098
1,analisi,75,0.16129032258064516
1,importazioni,75,0.16129032258064516
1,segnalazione,74,0.15913978494623657
1,supermercato,72,0.15483870967741936
1,risultati,71,0.15268817204301074
1,carabinieri,71,0.15268817204301074
1,carne,71,0.15268817204301074
1,acquistato,70,0.15053763440860216
2,alimenti,2320,1.0
2,cibi,1517,0.6538793103448276
2,dieta,1508,0.65
2,integrali,1248,0.5379310344827586
2,salute,1224,0.5275862068965518
2,prodotti,1097,0.4728448275862069
2,frutta,1037,0.44698275862068965
2,consumo,984,0.4241379310344828
2,mangiare,964,0.41551724137931034
2,giorno,897,0.38663793103448274
2,verdura,869,0.3745689655172414
2,pasta,827,0.3564655172413793
2,cereali,747,0.32198275862068965
2,grassi,723,0.3116379310344828
2,carne,701,0.3021551724137931
2,zuccheri,688,0.296551724137931
2,pane,668,0.28793103448275864
2,qualita,665,0.28663793103448276
2,studio,644,0.2775862068965517
2,vita,617,0.265948275862069
2,ricchi,598,0.25775862068965516
2,sana,589,0.2538793103448276
2,senza,585,0.2521551724137931
2,rischio,576,0.2482758620689655
2,importante,538,0.23189655172413792
3,olio,5392,1.0
3,palma,4519,0.838093471810089
3,prodotti,2924,0.5422848664688428
3,alimentare,2115,0.3922477744807122
3,grassi,1963,0.36405786350148367
3,consumatori,1760,0.3264094955489614
3,latte,1153,0.2138353115727003
3,salute,1147,0.2127225519287834
3,aziende,1090,0.2021513353115727
3,senza,1016,0.1884272997032641
3,italia,931,0.17266320474777447
3,ingredienti,851,0.15782640949554896
3,nuovo,844,0.15652818991097922
3,pubblicita,836,0.15504451038575667
3,utilizzo,830,0.15393175074183976
3,qualita,827,0.1533753709198813
3,zucchero,810,0.1502225519287834
3,italiani,761,0.14113501483679525
3,grande,754,0.13983679525222553
3,rispetto,749,0.13890949554896143
3,primo,739,0.13705489614243324
3,produzione,710,0.1316765578635015
3,presenti,700,0.1298219584569733
3,acidi,699,0.12963649851632048
3,ferrero,693,0.12852373887240356
4,vegana,2222,1.0
4,animali,1569,0.7061206120612061
4,alimentazione,1213,0.5459045904590459
4,dieta,1199,0.5396039603960396
4,carne,995,0.44779477947794777
4,vegano,949,0.4270927092709271
4,cucina,934,0.42034203420342037
4,cibo,836,0.37623762376237624
4,mangiare,808,0.36363636363636365
4,vegetariani,778,0.3501350135013501
4,prodotti,774,0.3483348334833483
4,scelta,714,0.3213321332133213
4,senza,694,0.31233123312331235
4,salute,690,0.31053105310531054
4,giorno,676,0.30423042304230424
4,bambini,639,0.28757875787578757
4,ristorante,633,0.2848784878487849
4,piatti,594,0.26732673267326734
4,piccolo,567,0.25517551755175516
4,primo,565,0.2542754275427543
4,nuovo,550,0.24752475247524752
4,casa,543,0.24437443744374437
4,italia,529,0.23807380738073808
4,menu,521,0.23447344734473446
4,italiani,515,0.23177317731773178
5,coli,2659,1.0
5,batteri,2656,0.9988717562993606
5,escherichia,2461,0.9255359157578037
5,divieto,2342,0.8807822489657766
5,mare,2294,0.8627303497555472
5,arpat,1985,0.7465212485896954
5,balneazione,1948,0.7326062429484769
5,acqua,1913,0.7194433997743512
5,acque,1796,0.6754418954494171
5,comune,1730,0.6506205340353516
5,analisi,1691,0.6359533659270402
5,giorni,1581,0.5945844302369312
5,risultati,1552,0.5836780744640843
5,inquinamento,1431,0.5381722452049643
5,tratto,1413,0.5314027830011282
5,campioni,1305,0.4907860097781121
5,presenza,1262,0.4746145167356149
5,nuovo,1191,0.44791274915381724
5,zona,1166,0.4385107183151561
5,problema,1158,0.4355020684467845
5,controlli,1142,0.4294847687100414
5,fossa,1122,0.42196314403911245
5,depuratore,1094,0.41143286949981195
5,foce,1089,0.40955246333207973
5,casi,1087,0.4088003008649868
