caso,parola,frequenza,percentuale
0,glutine,4930,9.563159528243327
0,prodotti,4425,8.583566108007448
0,senza,3683,7.144242706393545
0,celiachia,3615,7.012337057728119
0,alimenti,3364,6.525450031036622
0,grano,2293,4.447936064556177
0,pasta,2037,3.9513500931098697
0,salute,1950,3.782588454376164
0,italia,1869,3.6254655493482306
0,nuova,1712,3.3209186840471756
0,consumo,1651,3.202591558038485
0,farina,1626,3.1540968342644318
0,pane,1571,3.047408441961515
0,italiana,1563,3.0318901303538177
0,bambini,1536,2.97951582867784
0,qualita,1525,2.958178150217256
0,ingredienti,1450,2.8126939788950964
0,giorno,1418,2.750620732464308
0,grande,1403,2.7215238981998757
0,euro,1392,2.700186219739292
0,cibo,1392,2.700186219739292
0,azienda,1336,2.5915580384854127
0,presente,1318,2.5566418373680944
0,intolleranze,1257,2.438314711359404
0,cucina,1236,2.397579143389199
1,mozzarella,465,15.525876460767945
1,blu,270,9.015025041736227
1,prodotti,246,8.213689482470784
1,latte,159,5.308848080133556
1,azienda,115,3.8397328881469113
1,giorni,113,3.7729549248747913
1,colorazione,111,3.706176961602671
1,italiani,106,3.5392320534223707
1,consumatori,103,3.4390651085141903
1,italia,101,3.37228714524207
1,alimentare,101,3.37228714524207
1,confezione,98,3.2721202003338896
1,controlli,90,3.005008347245409
1,marchio,88,2.938230383973289
1,asl,88,2.938230383973289
1,batterio,84,2.8046744574290483
1,vendita,78,2.604340567612688
1,analisi,75,2.5041736227045077
1,importazioni,75,2.5041736227045077
1,segnalazione,74,2.4707846410684473
1,supermercato,72,2.4040066777963274
1,risultati,71,2.370617696160267
1,carabinieri,71,2.370617696160267
1,carne,71,2.370617696160267
1,acquistato,70,2.337228714524207
2,alimenti,2320,10.161622355569182
2,cibi,1517,6.64447461784416
2,dieta,1508,6.6050545311199675
2,integrali,1248,5.466252025754457
2,salute,1224,5.361131794489948
2,prodotti,1097,4.804870570715256
2,frutta,1037,4.542069992553984
2,consumo,984,4.30992948184486
2,mangiare,964,4.222329289124436
2,giorno,897,3.928868643511016
2,verdura,869,3.8062283737024223
2,pasta,827,3.6222679689895316
2,cereali,747,3.2718671981078353
2,grassi,723,3.166746966843327
2,carne,701,3.0703867548508605
2,zuccheri,688,3.0134466295825852
2,pane,668,2.925846436862161
2,qualita,665,2.9127064079540976
2,studio,644,2.8207262055976523
2,vita,617,2.70246594542508
2,ricchi,598,2.619245762340677
2,sana,589,2.5798256756164863
2,senza,585,2.5623056370724018
2,rischio,576,2.5228855503482106
2,importante,538,2.356445184179405
3,olio,5392,15.48846695200069
3,palma,4519,12.980783040818086
3,prodotti,2924,8.399161232872778
3,alimentare,2115,6.07531669204033
3,grassi,1963,5.638698187458708
3,consumatori,1760,5.0555826846293055
3,latte,1153,3.3119811564645394
3,salute,1147,3.2947462154942118
3,aziende,1090,3.131014276276104
3,senza,1016,2.918450004308735
3,italia,931,2.6742883405624336
3,ingredienti,851,2.444489127624738
3,nuovo,844,2.4243816964926896
3,pubblicita,836,2.40140177519892
3,utilizzo,830,2.384166834228593
3,qualita,827,2.375549363743429
3,zucchero,810,2.3267170309941685
3,italiani,761,2.18596501306983
3,grande,754,2.165857581937782
3,rispetto,749,2.1514951311291757
3,primo,739,2.1227702295119637
3,produzione,710,2.039468014822049
3,presenti,700,2.0107431132048372
3,acidi,699,2.0078706230431163
3,ferrero,693,1.9906356820727888
4,vegana,2222,10.730670787656347
4,animali,1569,7.577147824407206
4,alimentazione,1213,5.857922441686386
4,dieta,1199,5.790312454725456
4,carne,995,4.805138359009031
4,vegano,949,4.582991258994543
4,cucina,934,4.510551987250688
4,cibo,836,4.0372820785241705
4,mangiare,808,3.9020621046023085
4,vegetariani,778,3.7571835611145987
4,prodotti,774,3.737866421982904
4,scelta,714,3.4481093350074854
4,senza,694,3.3515236393490127
4,salute,690,3.3322065002173176
4,giorno,676,3.264596513256387
4,bambini,639,3.0859129762882116
4,ristorante,633,3.05693726759067
4,piatti,594,2.868595161056647
4,piccolo,567,2.738204471917709
4,primo,565,2.7285459023518617
4,nuovo,550,2.656106630608007
4,casa,543,2.6223016371275416
4,italia,529,2.5546916501666104
4,menu,521,2.516057371903221
4,italiani,515,2.487081663205679
5,coli,2659,6.474627447160806
5,batteri,2656,6.46732248952956
5,escherichia,2461,5.992500243498588
5,divieto,2342,5.7027369241258405
5,mare,2294,5.585857602025908
5,arpat,1985,4.833446966007597
5,balneazione,1948,4.7433524885555665
5,acqua,1913,4.6581279828577
5,acque,1796,4.373234635239116
5,comune,1730,4.21252556735171
5,analisi,1691,4.117561118145515
5,giorni,1581,3.8497126716665044
5,risultati,1552,3.779098081231129
5,inquinamento,1431,3.484464790104217
5,tratto,1413,3.440635044316743
5,campioni,1305,3.177656569591896
5,presenza,1262,3.072952176877374
5,nuovo,1191,2.9000681796045584
5,zona,1166,2.8391935326775104
5,problema,1158,2.819713645660855
5,controlli,1142,2.7807538716275446
5,fossa,1122,2.7320541540859065
5,depuratore,1094,2.6638745495276126
5,foce,1089,2.651699620142203
5,casi,1087,2.646829648388039
